run_id,tier_id,seed,budget_index,budget,timing_repetitions,cold_seconds,warm_seconds,speedup_cold_over_warm,cold_objective,warm_objective,objective_difference,consistency_tolerance,cold_iterations,warm_iterations,cold_initial_scenarios,warm_initial_scenarios,cold_final_scenarios,warm_final_scenarios,cold_master_seconds,warm_master_seconds,cold_oracle_seconds,warm_oracle_seconds,cold_peak_memory_mb,warm_peak_memory_mb,cold_lower_bound,warm_lower_bound,cold_upper_bound,warm_upper_bound,cold_gap,warm_gap,cold_master_solve_count,warm_master_solve_count,cold_recourse_lp_solve_count,warm_recourse_lp_solve_count,warm_reused_scenario_count,warm_scenario_reuse_rate,training_scenario_count
m0e3_formal_v1_20260823_M0_E3_V1_seed2026072401,V1,2026072401,0,1107.2893851278257,1,1.368781900000613,1.3108295000020007,1.044210478936066,20028.494961363824,20028.494961363824,0.0,0.002012849496136382,1,1,3,3,3,3,0.0635376999998698,0.04401810000126716,0.4952381000002788,0.48342780000166385,73.63671875,73.94140625,20028.494961363827,20028.494961363827,20028.494961363824,20028.494961363824,-3.637978807091713e-12,-3.637978807091713e-12,1,1,50,50,0,0.0,50
m0e3_formal_v1_20260823_M0_E3_V1_seed2026072401,V1,2026072401,1,1353.3536929340091,1,1.3375282999986666,1.318317000001116,1.0145725952085383,14886.214367683033,14886.214367683033,0.0,0.0014986214367683033,1,1,3,3,3,3,0.04129240000111167,0.04540590000033262,0.49913759999981266,0.5155524000001606,73.83203125,73.99609375,14886.214367683033,14886.214367683033,14886.214367683033,14886.214367683033,0.0,0.0,1,1,50,50,1,0.3333333333333333,50
m0e3_formal_v1_20260823_M0_E3_V1_seed2026072401,V1,2026072401,2,1599.4180007401926,1,1.3663258000015048,1.312643699999171,1.0408961700744594,9758.421235498252,9758.421235498252,0.0,0.0009858421235498251,1,1,3,3,3,3,0.04405580000093323,0.04542899999796646,0.5131956999975955,0.4991178999989643,73.77734375,73.68359375,9758.421235498252,9758.421235498252,9758.421235498252,9758.421235498252,0.0,0.0,1,1,50,50,1,0.3333333333333333,50
m0e3_formal_v1_20260823_M0_E3_V1_seed2026072402,V1,2026072402,0,1107.2893851278257,1,1.3032437000001664,1.3079599999982747,0.9963941557860221,12275.619671562159,12275.619671562159,0.0,0.0012375619671562159,1,1,3,3,3,3,0.04287119999935385,0.045361699998466065,0.4941379000010784,0.49441269999806536,73.69921875,73.76953125,12275.61967156216,12275.61967156216,12275.619671562159,12275.619671562159,-1.8189894035458565e-12,-1.8189894035458565e-12,1,1,50,50,0,0.0,50
m0e3_formal_v1_20260823_M0_E3_V1_seed2026072402,V1,2026072402,1,1353.3536929340091,1,1.3119884000007005,1.3100379999996221,1.0014888117757492,7149.352150038045,7149.352150038045,0.0,0.0007249352150038045,1,1,3,3,3,3,0.04063520000272547,0.0411071999988053,0.4970095999997284,0.5016284000012092,73.53515625,73.75390625,7149.352150038045,7149.352150038045,7149.352150038045,7149.352150038045,0.0,0.0,1,1,50,50,1,0.3333333333333333,50
m0e3_formal_v1_20260823_M0_E3_V1_seed2026072402,V1,2026072402,2,1599.4180007401926,1,1.8426180000024033,1.8557111000009172,0.9929444297668385,2034.459298727941,2034.459298727941,0.0,0.0002134459298727941,2,2,3,3,4,4,0.06556800000180374,0.057669699996040436,1.0132838999998057,0.9902155999989191,75.05078125,74.90625,2034.459298727941,2034.459298727941,2034.459298727941,2034.459298727941,0.0,0.0,2,2,100,100,1,0.3333333333333333,50
m0e3_formal_v1_20260823_M0_E3_V1_seed2026072403,V1,2026072403,0,1107.2893851278257,1,1.3101861999966786,1.3806589000014355,0.9489571971725358,29785.311506953058,29785.311506953058,0.0,0.0029885311506953056,1,1,2,2,2,2,0.04494720000002417,0.04100200000175391,0.49382320000222535,0.4996988000020792,73.421875,73.4765625,29785.31150695306,29785.31150695306,29785.311506953058,29785.311506953058,-3.637978807091713e-12,-3.637978807091713e-12,1,1,50,50,0,0.0,50
m0e3_formal_v1_20260823_M0_E3_V1_seed2026072403,V1,2026072403,1,1353.3536929340091,1,1.3247526999984984,1.300595599997905,1.0185738749236368,24606.897986764678,24606.897986764678,0.0,0.0024706897986764677,1,1,2,2,2,2,0.042835400003241375,0.04225299999961862,0.4979898999990837,0.4945698000010452,73.49609375,73.9296875,24606.897986764674,24606.897986764674,24606.897986764678,24606.897986764678,3.637978807091713e-12,3.637978807091713e-12,1,1,50,50,1,0.5,50
m0e3_formal_v1_20260823_M0_E3_V1_seed2026072403,V1,2026072403,2,1599.4180007401926,1,1.3667910000003758,1.3072427000006428,1.0455525970806367,19476.070293628538,19476.070293628538,0.0,0.001957607029362854,1,1,2,2,2,2,0.039255299998330884,0.03924129999722936,0.5148136999996495,0.5011792999976024,73.51171875,73.2421875,19476.07029362854,19476.07029362854,19476.070293628538,19476.070293628538,-3.637978807091713e-12,-3.637978807091713e-12,1,1,50,50,1,0.5,50
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072401,V2,2026072401,0,1107.2893851278257,3,1.8429728999981307,1.8382735000013781,1.0025564204655886,20028.494961363824,20028.494961363824,0.0,0.002012849496136382,1,1,3,3,3,3,0.0481629999994766,0.04269630000271718,1.0151527999987593,0.9919359999985318,75.60546875,74.60546875,20028.494961363824,20028.494961363824,20028.494961363824,20028.494961363824,0.0,0.0,1,1,100,100,0,0.0,100
