budget,mode,iteration,scenario_count,added_scenario,added_type,LB,candidate_UB,global_UB,gap,regular_cost,R,R/B,master_time,oracle_time,infeasible_scenario_count,worst_recourse_cost,worst_scenario
700.0,cold,1,3,,,9689.611543803301,9689.611543803301,9689.611543803301,0.0,700.0,-0.0,-0.0,0.15671890001976863,0.1661838999716565,0,8989.611543803301,s0016
700.0,warm,1,3,,,9689.611543803301,9689.611543803301,9689.611543803301,0.0,700.0,-0.0,-0.0,0.013468499993905425,0.18400480004493147,0,8989.611543803301,s0016
800.0,cold,1,3,s0000,infeasible,7489.871575937947,,,,800.0,-0.0,-0.0,0.01460259995656088,0.15436240000417456,8,,
800.0,cold,2,4,s0010,infeasible,7504.213112258333,,,,800.0,-0.0,-0.0,0.0158413999597542,0.15955949999624863,3,,
800.0,cold,3,5,s0012,infeasible,7508.508041829613,,,,800.0,-0.0,-0.0,0.020733199955429882,0.16870310000376776,2,,
800.0,cold,4,6,,,7523.229280717747,7523.229280717749,7523.229280717749,1.8189894035458565e-12,800.0,0.0,0.0,0.020566999970469624,0.20150859997374937,0,6723.229280717749,s0016
800.0,warm,1,3,s0000,infeasible,7489.871575937947,,,,800.0,-0.0,-0.0,0.012160399986896664,0.15637199999764562,8,,
800.0,warm,2,4,s0010,infeasible,7504.213112258333,,,,800.0,-0.0,-0.0,0.01707990001887083,0.17893259995616972,3,,
800.0,warm,3,5,s0012,infeasible,7508.508041829613,,,,800.0,-0.0,-0.0,0.019132499990519136,0.16571219998877496,2,,
800.0,warm,4,6,,,7523.229280717747,7523.229280717749,7523.229280717749,1.8189894035458565e-12,800.0,0.0,0.0,0.02525090001290664,0.17025359999388456,0,6723.229280717749,s0016
900.0,cold,1,3,s0000,infeasible,5324.50572227941,,,,900.0,-0.0,-0.0,0.012323200004175305,0.1613939000526443,9,,
900.0,cold,2,4,s0006,infeasible,5345.847798949721,,,,900.0,-0.0,-0.0,0.016762499988544732,0.15706050000153482,5,,
900.0,cold,3,5,s0010,infeasible,5362.829576466283,,,,900.0,-0.0,-0.0,0.020356299995910376,0.1716121999779716,3,,
