budget,scenario,in_cold_initial_pool,in_warm_initial_pool,in_warm_final_pool,active_after_budget,historical_adversarial_after_budget,exact_recourse_cost
700.0,s0000,False,False,False,False,False,4805.97537870624
700.0,s0001,False,False,False,False,False,5389.6286659672905
700.0,s0002,False,False,False,False,False,6159.618125666025
700.0,s0003,True,True,True,False,False,7694.621587734278
700.0,s0004,False,False,False,False,False,5728.27147306034
700.0,s0005,False,False,False,False,False,3086.044043935466
700.0,s0006,False,False,False,False,False,4443.000436186847
700.0,s0007,False,False,False,False,False,3733.615700081356
700.0,s0008,False,False,False,False,False,7590.954192920215
700.0,s0009,False,False,False,False,False,3537.841519108545
700.0,s0010,False,False,False,False,False,3152.3113458462262
700.0,s0011,False,False,False,False,False,5276.055084451365
700.0,s0012,False,False,False,False,False,3700.780877452224
700.0,s0013,False,False,False,False,False,4061.1093488131874
700.0,s0014,False,False,False,False,False,2902.3763312735414
700.0,s0015,False,False,False,False,False,5703.385114112402
700.0,s0016,True,True,True,True,True,8989.611543803301
700.0,s0017,False,False,False,False,False,4235.582326397328
700.0,s0018,False,False,False,False,False,4477.6609875704
700.0,s0019,True,True,True,False,False,3290.578571184798
800.0,s0000,False,False,True,False,True,2581.748226046251
800.0,s0001,False,False,False,False,False,3123.246402881738
800.0,s0002,False,False,False,False,False,3893.2358625804727
800.0,s0003,True,True,True,False,False,5428.2393246487245
800.0,s0004,False,False,False,False,False,3504.0443204003514
800.0,s0005,False,False,False,False,False,861.816891275477
800.0,s0006,False,False,False,False,False,2218.773283526858
800.0,s0007,False,False,False,False,False,1467.2334369958037
800.0,s0008,False,False,False,False,False,5324.571929834663
800.0,s0009,False,False,False,False,False,1313.6143664485558
800.0,s0010,False,False,True,False,True,928.0841931862373
800.0,s0011,False,False,False,False,False,3051.827931791376
800.0,s0012,False,False,True,False,True,1476.553724792235
800.0,s0013,False,False,False,False,False,1836.8821961531983
800.0,s0014,False,False,False,False,False,678.1491786135521
800.0,s0015,False,False,False,False,False,3437.0028510268503
800.0,s0016,True,True,True,True,True,6723.229280717749
800.0,s0017,False,False,False,False,False,1969.200063311775
800.0,s0018,False,False,False,False,False,2253.4338349104105
800.0,s0019,True,True,True,False,False,1066.3514185248089
900.0,s0000,False,True,True,False,True,339.91192433849994
900.0,s0001,False,False,False,False,False,881.4101011739859
900.0,s0002,False,False,False,False,False,1651.3995608727216
900.0,s0003,True,True,True,False,False,3186.403022940974
900.0,s0004,False,False,False,False,False,1262.2080186926005
900.0,s0005,False,False,False,False,False,47.682708676435375
900.0,s0006,False,False,True,False,True,64.44344808483973
900.0,s0007,False,False,False,False,False,0.0
900.0,s0008,False,False,False,False,False,3082.7356281269113
900.0,s0009,False,False,False,False,False,2.148589019384118
900.0,s0010,False,True,True,False,True,64.22563082667439
900.0,s0011,False,False,False,False,False,809.9916300836247
900.0,s0012,False,True,True,False,True,27.60519375029953
900.0,s0013,False,False,False,False,False,35.71662920499217
900.0,s0014,False,False,False,False,False,51.484770295741605
900.0,s0015,False,False,False,False,False,1195.166549319098
900.0,s0016,True,True,True,True,True,4481.392979009997
900.0,s0017,False,False,False,False,False,0.0
900.0,s0018,False,False,False,False,False,64.48744703289256
900.0,s0019,True,True,True,False,False,29.569531454981522
1000.0,s0000,False,True,True,False,True,62.50753357206105
1000.0,s0001,False,False,False,False,False,0.0
1000.0,s0002,False,False,False,False,False,0.0
1000.0,s0003,True,True,True,False,False,974.9744515124028
1000.0,s0004,False,False,False,False,False,29.335660694617815
1000.0,s0005,False,False,False,False,False,47.682708676435375
1000.0,s0006,False,True,True,False,True,64.44344808483973
1000.0,s0007,False,False,False,False,False,0.0
1000.0,s0008,False,False,False,False,False,1164.2349343783912
1000.0,s0009,False,False,False,False,False,2.148589019384118
1000.0,s0010,False,True,True,False,True,64.22563082667439
1000.0,s0011,False,False,False,False,False,67.62444516503247
1000.0,s0012,False,True,True,False,True,27.60519375029953
1000.0,s0013,False,False,False,False,False,35.71662920499217
1000.0,s0014,False,False,False,False,False,51.484770295741605
1000.0,s0015,False,False,False,False,False,0.0
1000.0,s0016,True,True,True,True,True,2269.9644075814263
1000.0,s0017,False,False,False,False,False,0.0
1000.0,s0018,False,False,False,False,False,64.48744703289256
1000.0,s0019,True,True,True,False,False,29.569531454981522
1100.0,s0000,False,True,True,False,True,62.50753357206105
1100.0,s0001,False,False,False,False,False,0.0
1100.0,s0002,False,False,False,False,False,0.0
1100.0,s0003,True,True,True,False,False,0.0
1100.0,s0004,False,False,False,False,False,29.335660694617815
1100.0,s0005,False,False,False,False,False,47.682708676435375
1100.0,s0006,False,True,True,False,True,64.44344808483973
1100.0,s0007,False,False,False,False,False,0.0
1100.0,s0008,False,False,True,True,True,84.24976866972744
1100.0,s0009,False,False,False,False,False,2.148589019384118
1100.0,s0010,False,True,True,False,True,64.22563082667439
1100.0,s0011,False,False,False,False,False,67.62444516503247
1100.0,s0012,False,True,True,False,True,27.60519375029953
1100.0,s0013,False,False,False,False,False,35.71662920499217
1100.0,s0014,False,False,False,False,False,51.484770295741605
1100.0,s0015,False,False,False,False,False,0.0
1100.0,s0016,True,True,True,True,True,84.24976866972744
1100.0,s0017,False,False,False,False,False,0.0
1100.0,s0018,False,False,False,False,False,64.48744703289256
1100.0,s0019,True,True,True,False,False,29.569531454981522
1200.0,s0000,False,True,True,False,True,59.108719233703
1200.0,s0001,False,False,False,False,False,0.0
1200.0,s0002,False,False,False,False,False,0.0
1200.0,s0003,True,True,True,False,False,0.0
1200.0,s0004,False,False,False,False,False,25.936846356259732
1200.0,s0005,False,False,False,False,False,47.68270867643534
1200.0,s0006,False,True,True,False,True,61.044633746481644
1200.0,s0007,False,False,False,False,False,0.0
1200.0,s0008,False,True,True,True,True,64.22563082667435
1200.0,s0009,False,False,False,False,False,1.7511225181847292
1200.0,s0010,False,True,True,True,True,64.22563082667435
1200.0,s0011,False,False,True,True,True,64.22563082667439
1200.0,s0012,False,True,True,False,True,25.61649167487834
1200.0,s0013,False,False,False,False,False,32.31781486663408
1200.0,s0014,False,False,False,False,False,51.48477029574163
1200.0,s0015,False,False,False,False,False,0.0
1200.0,s0016,True,True,True,True,True,64.22563082667416
1200.0,s0017,False,False,False,False,False,0.0
1200.0,s0018,False,False,False,False,False,61.08863269453449
1200.0,s0019,True,True,True,False,False,29.569531454981554
